,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2023-11-16,28.37,28.37,28.38,116216.0
2023-11-17,28.85,28.84,28.86,152222.0
2023-11-20,30.47,30.46,30.49,174146.0
2023-11-21,28.98,28.97,28.99,175948.0
2023-11-22,28.66,28.65,28.68,242327.0
2023-11-24,28.58,28.57,28.6,54199.0
2023-11-27,29.04,29.03,29.05,148533.0
2023-11-28,28.57,28.56,28.58,138266.0
2023-11-29,28.77,28.76,28.79,223886.0
2023-11-30,27.34,27.32,27.35,193657.0
2023-12-01,26.97,26.96,26.97,244007.0
2023-12-04,26.63,26.61,26.64,173441.0
2023-12-05,26.3,26.3,26.3,165059.0
2023-12-06,25.35,25.34,25.36,179854.0
2023-12-07,25.62,25.61,25.62,149490.0
2023-12-08,27.27,27.26,27.28,193819.0
2023-12-11,26.23,26.22,26.24,183609.0
2023-12-12,26.52,26.51,26.54,131851.0
2023-12-13,27.33,27.32,27.33,157698.0
2023-12-14,29.44,29.44,29.44,270608.0
2023-12-15,29.99,29.97,30.01,195057.0
2023-12-18,32.2,32.18,32.21,358775.0
2023-12-19,31.6,31.59,31.61,232309.0
2023-12-20,30.18,30.18,30.18,195247.0
2023-12-21,30.43,30.42,30.43,151086.0
2023-12-22,28.98,28.98,28.99,292773.0
2023-12-26,29.44,29.43,29.45,136810.0
2023-12-27,29.51,29.5,29.52,87809.0
2023-12-28,29.15,29.14,29.17,76459.0
2023-12-29,28.44,28.43,28.45,119603.0
2024-01-02,28.54,28.54,28.55,108820.0
2024-01-03,28.08,28.06,28.09,91376.0
2024-01-04,28.9,28.88,28.91,141605.0
2024-01-05,29.21,29.2,29.23,147259.0
2024-01-08,32.03,32.03,32.03,276659.0
2024-01-09,34.37,34.36,34.37,472221.0
2024-01-10,34.23,34.21,34.24,351263.0
2024-01-11,34.31,34.29,34.33,227066.0
2024-01-12,33.95,33.94,33.96,148069.0
2024-01-16,32.63,32.63,32.63,307017.0
2024-01-17,31.83,31.82,31.83,226393.0
2024-01-18,31.15,31.14,31.16,241638.0
2024-01-19,42.36,42.33,42.38,1637468.0
2024-01-22,43.62,43.59,43.65,1286929.0
2024-01-23,45.72,45.7,45.74,642143.0
2024-01-24,47.01,47.0,47.02,852572.0
2024-01-25,47.55,47.55,47.56,461868.0
2024-01-26,47.4,47.39,47.42,332235.0
2024-01-29,49.56,49.54,49.57,613145.0
2024-01-30,51.31,51.27,51.35,1178980.0
2024-01-31,52.9,52.87,52.93,839722.0
2024-02-01,58.34,58.33,58.35,914782.0
2024-02-02,57.93,57.91,57.94,823636.0
2024-02-05,66.4,66.37,66.43,1179372.0
2024-02-06,68.12,68.08,68.16,1192556.0
2024-02-07,68.33,68.31,68.35,830210.0
2024-02-08,69.78,69.77,69.8,638726.0
2024-02-09,74.05,74.03,74.06,719432.0
2024-02-12,77.32,77.3,77.33,1084636.0
2024-02-13,79.17,79.15,79.2,943701.0
2024-02-14,88.06,88.05,88.07,1267751.0
2024-02-15,100.42,100.42,100.43,1474084.0
2024-02-16,80.31,80.28,80.33,2003046.0
2024-02-20,78.8,78.76,78.84,1609585.0
2024-02-21,73.36,73.3,73.42,757746.0
2024-02-22,97.55,97.55,97.55,1394705.0
2024-02-23,85.98,85.97,85.99,1093841.0
2024-02-26,87.55,87.49,87.6,568160.0
2024-02-27,85.11,85.07,85.15,405514.0
2024-02-28,81.66,81.65,81.67,335582.0
2024-02-29,86.52,86.45,86.59,515076.0
2024-03-01,90.55,90.5,90.6,550024.0
2024-03-04,107.49,107.43,107.55,1083903.0
2024-03-05,109.16,109.08,109.23,749028.0
2024-03-06,112.51,112.42,112.6,647331.0
2024-03-07,115.99,115.98,116.01,467692.0
2024-03-08,113.98,113.96,114.0,632943.0
2024-03-11,107.99,107.95,108.02,386664.0
2024-03-12,116.28,116.26,116.3,350227.0
2024-03-13,118.77,118.71,118.82,293104.0
2024-03-14,113.14,113.07,113.2,322948.0
2024-03-15,106.74,106.7,106.79,353335.0
2024-03-18,100.01,99.97,100.06,606025.0
2024-03-19,91.05,91.04,91.07,525848.0
2024-03-20,89.62,89.6,89.65,374227.0
2024-03-21,97.19,97.16,97.21,442188.0
2024-03-22,97.19,97.19,97.2,262730.0
2024-03-25,104.3,104.3,104.31,382645.0
2024-03-26,102.54,102.51,102.58,343721.0
2024-03-27,102.38,102.32,102.43,291911.0
2024-03-28,100.99,100.97,101.0,183831.0
2024-04-01,103.75,103.71,103.79,310552.0
2024-04-02,100.99,100.98,100.99,232517.0
2024-04-03,101.6,101.55,101.64,366966.0
2024-04-04,95.78,95.75,95.8,341177.0
2024-04-05,94.84,94.77,94.9,306541.0
2024-04-08,92.91,92.9,92.93,231590.0
2024-04-09,90.46,90.42,90.49,222455.0
2024-04-10,90.82,90.8,90.85,215056.0
2024-04-11,93.7,93.68,93.72,196707.0
2024-04-12,89.9,89.87,89.94,177026.0
2024-04-15,88.31,88.29,88.34,227701.0
2024-04-16,97.56,97.53,97.6,398844.0
2024-04-17,95.98,95.96,96.0,398256.0
2024-04-18,92.86,92.85,92.88,230447.0
2024-04-19,71.41,71.36,71.45,935757.0
2024-04-22,71.74,71.7,71.77,500883.0
2024-04-23,76.2,76.13,76.26,485682.0
2024-04-24,75.52,75.47,75.57,376250.0
2024-04-25,78.78,78.77,78.79,271838.0
2024-04-26,85.76,85.74,85.79,409600.0
2024-04-29,89.06,89.03,89.09,333462.0
2024-04-30,85.94,85.87,86.0,325407.0
2024-05-01,73.82,73.76,73.87,735063.0
2024-05-02,76.2,76.15,76.25,356283.0
2024-05-03,78.27,78.23,78.3,281433.0
2024-05-06,83.06,83.04,83.09,325975.0
2024-05-07,81.93,81.91,81.94,252968.0
2024-05-08,82.3,82.26,82.33,209756.0
2024-05-09,80.0,79.97,80.03,216173.0
2024-05-10,79.83,79.81,79.85,210253.0
